"filename", "language", "C#", "comment", "blank", "total"
"g:\Kepler\Kepler\Assets\Scripts\UI\PhysicSceneUI.cs", "C#", 11, 0, 2, 13
"g:\Kepler\Kepler\Assets\Scripts\UI\PositionEditorUI.cs", "C#", 52, 0, 15, 67
"g:\Kepler\Kepler\Assets\Scripts\UI\Quiz\AstralBodyEditorQuizUI.cs", "C#", 35, 3, 13, 51
"g:\Kepler\Kepler\Assets\Scripts\UI\Quiz\QuizEditorUI.cs", "C#", 80, 0, 14, 94
"g:\Kepler\Kepler\Assets\Scripts\UI\Quiz\QuizLineUI.cs", "C#", 49, 0, 11, 60
"g:\Kepler\Kepler\Assets\Scripts\UI\Quiz\QuizListUI.cs", "C#", 48, 1, 10, 59
"g:\Kepler\Kepler\Assets\Scripts\UI\Quiz\QuizUI.cs", "C#", 97, 1, 13, 111
"g:\Kepler\Kepler\Assets\Scripts\UI\Quiz\ResultUI.cs", "C#", 49, 0, 9, 58
"g:\Kepler\Kepler\Assets\Scripts\UI\Quiz\VarLineUI.cs", "C#", 256, 3, 29, 288
"g:\Kepler\Kepler\Assets\Scripts\UI\SatelliteControllerUI.cs", "C#", 41, 0, 14, 55
"g:\Kepler\Kepler\Assets\Scripts\UI\Satellite\SatelliteResultUI.cs", "C#", 49, 0, 8, 57
"g:\Kepler\Kepler\Assets\Scripts\UI\SelectorUI.cs", "C#", 78, 12, 10, 100
"g:\Kepler\Kepler\Assets\Scripts\UI\SettingUI.cs", "C#", 22, 0, 4, 26
"g:\Kepler\Kepler\Assets\Scripts\UI\StarStyleSettingUI.cs", "C#", 17, 0, 4, 21
"g:\Kepler\Kepler\Assets\Scripts\UI\TestModeUI.cs", "C#", 15, 0, 4, 19
"g:\Kepler\Kepler\Assets\Scripts\UI\TutorialUI.cs", "C#", 35, 0, 7, 42
"g:\Kepler\Kepler\Assets\Scripts\UI\UIManager.cs", "C#", 7, 0, 1, 8
"g:\Kepler\Kepler\Assets\Scripts\UI\VectorUI.cs", "C#", 69, 3, 13, 85
"g:\Kepler\Kepler\Assets\Scripts\UI\VelocityEditorUI.cs", "C#", 60, 4, 13, 77
"Total", "-", 4932, 368, 988, 6288
